,wer,wer_norm
medium,74.57044157404627,39.94646721591556
largev2,70.6848903574647,34.60457876153233
largev3,69.2069690597777,30.60670488629029
smallft,58.51607089215981,18.99654504726831
mediumft,32.963352358065485,15.032841034207827
