,wer,wer_norm,cer,cer_norm
medium,59.93435224125552,39.02388093701356,34.726872978017845,29.495118240435716
largev2,53.1069853318289,33.08401989445309,29.3153502609597,24.379392198560403
largev3,51.49246076520668,29.817001404761,26.705348357917668,21.726493613865816
