,wer,wer_norm,cer,cer_norm
medium,74.57044157404627,39.94646721591556,47.17990483102417,29.6241848220925
largev2,70.6848903574647,34.60457876153233,44.09791436105757,25.732698570073246
largev3,69.2069690597777,30.60670488629029,39.486258296087826,21.903178659646663
smallft,58.51607089215981,18.99654504726831,30.004499016455892,11.884716963392849
